DATE,VIXCLS
2020-03-02,33.42
2020-03-03,36.82
2020-03-04,31.99
2020-03-05,39.62
2020-03-06,41.94
2020-03-09,54.46
2020-03-10,47.3
2020-03-11,53.9
2020-03-12,75.47
2020-03-13,57.83
2020-03-16,82.69
2020-03-17,75.91
2020-03-18,76.45
2020-03-19,72.0
2020-03-20,66.04
2020-03-23,61.59
2020-03-24,61.67
2020-03-25,63.95
2020-03-26,61.0
2020-03-27,65.54
2020-03-30,57.08
2020-03-31,53.54
2020-04-01,57.06
2020-04-02,50.91
2020-04-03,46.8
2020-04-06,45.24
2020-04-07,46.7
2020-04-08,43.35
2020-04-09,41.67
2020-04-13,41.17
2020-04-14,37.76
2020-04-15,40.84
2020-04-16,40.11
2020-04-17,38.15
2020-04-20,43.83
2020-04-21,45.41
2020-04-22,41.98
2020-04-23,41.38
2020-04-24,35.93
2020-04-27,33.29
2020-04-28,33.57
2020-04-29,31.23
2020-04-30,34.15
